date;user;v;a;tweet
03.06.19 08:24;DavidHeadViews;4.31;5.02;RT @thomasbrake: Despite knowing the Referendum result was unlawful, she has “decided to carry on” with a damaging #Brexit. Just because it is in her powers to do so, does not mean it’s right. She is undermining democracy and setting a dangerous precedent. (2)
03.06.19 08:24;DennisHammond;6.71;4.24;@mrchrisaddison Sorting out #Brexit would be easier
03.06.19 08:24;antsbreed;5.39;4.10;RT @BrexitHome: A loss of trust over Brexit could break our politics. And I shudder to think of the consequences - @EstherMcVey1 https://t.co/QAa4drLr9t
03.06.19 08:24;ashleyeile;6.56;4.38;RT @BrexitReadyIRL: Irish or British? How does the Common Travel Area help you? Read more: https://t.co/ofwLKnwYLU https://t.co/pjuQbFEbrG
03.06.19 08:24;davebeament29;5.71;4.08;RT @CarolineLucas: Congrats to @Channel4News for yet more shocking revelations Extraordinary that we’ve still not had full scale public inquiry into Russian interference in #Brexit which increasing evidence demands - & how can we go ahead with Brexit before @NCA_UK has reported? #TheBanksFiles https://t.co/MluCl62dQF
03.06.19 08:24;realsophiec;5.85;4.75;RT @SpotlightUK: Apologies for the link above everyone, it seems to lead to a 404 error 😱😱😱  please try this link: https://t.co/VPQcgftKR8
03.06.19 08:24;TessaHolden;5.40;4.67;I wrote to my MP @MarkLancasterMK about 6 weeks ago to say government's handling of Brexit was unbusinesslike and the government should ask for an extension to A50 to allow business to planproperly. Needless to say, I have had no reply. It looks like blackmail to me https://t.co/ndNUWCX4Kq
03.06.19 08:24;Comedians4EU;4.98;4.99;RT @davidschneider: That’s right. Because apart from Grayling, the Tories seem completely competent. Just look at how they’ve handled Brexit. Or Universal Credit. Or the soaring level of debt. Or crime. Or NHS waiting times. Or the 2017 election manifesto etc etc. https://t.co/syTtFAOSwU
03.06.19 08:24;Pam1739;6.28;3.99;RT @27Tawnyowl: Now Bank of England's Mark Carney says the 'economic shock' from No-Deal Brexit will be LESS than feared thanks to the plans ministers have put in place via https://t.co/SoLYFq4fjshttps://t.co/xBXHTpgP1a
03.06.19 08:24;Pam1739;6.70;5.37;"RT @webofevil: @IanDunt Norman Lamont asks Mark Carney if he's modelled the happy Brexit scenario of UK/EU applying zero tariffs to each other. Carney, is incredulous. When Lamont starts wittering about ""Article 24"", Carney just shuts him down. https://t.co/9OO6DFfftt"
03.06.19 08:24;GussyJackson;6.43;4.37;@ScotNational So it's a No Deal Brexit then! Sense at last. Freedom in the EU Federation sounded great if it wasn't so stupid.
03.06.19 08:24;ChrisWu56;4.90;5.07;Could IDS get anymore delusional? What a load of b*****ks! https://t.co/ibDus0WMBg
03.06.19 08:24;sailorsnook;5.06;4.59;More gambling and desperation, protect consumers, kill manufacturing #StopItNow #PeoplesVote #ledbydonkeys & no more secrecy! Brexit: Government to slash up to 90% of trade tariffs if UK leavesEU with no deal | UK News | Sky News https://t.co/2HJKaWo4M0
03.06.19 08:24;ddnar;6.09;4.88;RT @TheoPapaioannou: If you have missed the @innogen_inst event on celebrating 16 years of innovation research @OpenUniversity you can catch up here: https://t.co/TDHD2hGoMP
03.06.19 08:24;bmc875;5.90;4.07;RT @GaelicRoadSign: Your casual reminder that Nissan were given more information about UK #brexit plans than the Scottish gov't and Northern Irish Assembly. How is that working out for you? https://t.co/DBYVWe7PGY
03.06.19 08:24;lukeamonty;6.29;4.48;RT @PeterStefanovi2: I hear MP’s could be given just 24 hours to assess legal changes to May’s deal before voting on it. In a simple Court case, affecting a single individual, a judge would ensurehe/she had weeks to consider new evidence. Brexit will affect 65 million people and generations to come
03.06.19 08:24;Holduphalf;5.86;3.83;RT @TheOfficialGRB: 2016: Farage: “Obama behaved ‘disgracefully’ by campaigning against Brexit.” 2019: US ambassador Woody Johnson: “You have been presented with a false choice, either stick to EU directives, or find yourselves flooded with American food of the lowest quality.” Farage: Silent...
03.06.19 08:24;AnthonyBowson;5.24;4.70;RT @NarcAware: @VinaigretteGirl @brexit_sham @andwarn The EC was forced to continue investigation via courts. They have been begging for more powers & reforms Also blocked from divulging the source of the 450,000 DUP donation. May stopped Pre ref investigation into Banks the list of obfuscation is very long https://t.co/fMTm9KNsmZ
03.06.19 08:24;MrDiddy85;6.27;4.37;RT @BritUnconquered: MPs will 'force UK into permanent EU customs union if Brexit vote fails' - The Sun People will force MPs to follow instructions or face the consequences. They have no idea about the strength of feeling outside of the London bubble but they will find out! https://t.co/vuc2Oqifvo
03.06.19 08:24;jemloire;5.84;3.94;RT @Peston: NB ERG leader @Jacob_Rees_Mogg attacks PM for seemingly bribing Labour MPs to vote for her Brexit deal - and does not manifest confidence PM and her attorney will get backstop reforms he wants https://t.co/bh88Z8d1Xx
03.06.19 08:24;DaremLP;6.29;4.44;RT @thesovrangroup: This Brexit thing Sounds like a big deal for EU but our competition is still on 😊 Follow, Retweet & Reply for a chance to win a handmade Union Jack Keepsake DecorativeSouvenirs Storage Box #HandyCraftsHome #Giveaway #Competition #Freebiefriday #Winitwednesday #Frieebies https://t.co/G0ggDAlnPp
03.06.19 08:24;InskinMedia;5.44;3.79;...further Brexit-related uncertainty, or a no-deal scenario, would prolong the flat – or even declining - market, while #digital #advertising will continue to grow... @hugodrayton comments on the recent Barclays Adtech Ascendancy report. https://t.co/8pXeX8jCYk
03.06.19 08:24;Ospreychick;4.82;3.47;RT @TerryAnn_G: This is what brexit is all about ..Government dodges vote on tax haven secrecy https://t.co/wNi2dCza9G via @leftfootfwd
03.06.19 08:24;thedutchmeister;4.17;5.78;@bbclaurak @ComeOnCov But nothing to do with Brexit obvs...🙄
03.06.19 08:24;Wilma76866749;5.42;4.18;RT @cirian75: Ultimately UK MP's have 2 choices @theresa_may @jeremycorbyn @NicolaSturgeon @vincecable @CarolineLucas @Adamprice Short term riots by the mostly far right Brexit supporters if we don't Brexit Or long term food and jobs riots by the UK populous at large if we Brexit Choose
03.06.19 08:24;sjwrenlewis;6.56;3.70;RT @Sportinglesbian: @SamCoatesTimes @stephenkb @afneil @bbcnickrobinson @bbclaurak @RobBurl Meanwhile, from @sjwrenlewis, Emeritus Professor of Economics and Fellow of Merton College, University of Oxford: https://t.co/LgXrAOo2Wp
03.06.19 08:24;V5M1000;4.97;4.64;RT @SteveBakerHW: “Ex-MI6 chief says no-deal Brexit far better than Theresa May's offering” An important reminder the backstop is only the worst problem in this terrible Brexit dealhttps://t.co/55n0PrxrtJ
03.06.19 08:24;nickymugler;5.58;4.33;RT @mediawhizz: No. Sadly many @BritishInEurope are shattered husks of their former selves. Brexit’s really damaged a lot of people’s mental health and outlook. https://t.co/iDjwdOIilK
03.06.19 08:24;horatioharry;5.59;3.89;RT @Tim_Roache: For 40 years, my life has been to protect and enhance workers rights. The Prime Ministers Brexit deal does the opposite on workers rights and must be opposed. Government workers' rights assurances 'meaningless' https://t.co/Wja1kJRosD
03.06.19 08:24;Adnyuk;5.86;4.12;RT @CapX: From fisheries to defence, the PM's Brexit deal is riddled with serious problems https://t.co/SlI7mQsSeN
03.06.19 08:24;gwinniejones;5.86;4.28;RT @Peston: I have been reminded that @michaelgove’s leadership manifesto included a pledge not to trigger Article 50 till Brexit principles agreed with EU. For other reasons - ahem - that was not a scintillating bid. And @theresa_may was not interested in his view of how to negotiate
03.06.19 08:24;MartynWilliams2;5.21;4.47;RT @bpwilliams72: When Brexiters say crap like this they are never challenged on their arguments by assertion. Which polls? When? Interviewers - SCRUTINISE. Don't offer uncontested platforms for Brexit bullshit (from either side). Or you are a serious part of the problem of our failing politics. https://t.co/tNtp6zZUq3
03.06.19 08:24;steelys;6.07;4.89;RT @petertimmins3: Bombardier presses DUP to back May’s #Brexit deal Is there any major employer in the UK not negatively impacted by #Brexit? https://t.co/uYkZzckLOP
03.06.19 08:24;preshn9;3.78;5.08;RT @EuropeFife: BBC News - Brexit 'likely to cause cancer test delays' https://t.co/hKKDkhjHaE
03.06.19 08:24;MexicoRS78;5.23;5.45;"RT @ChrisJC12002: Congratulate Tusk people. He just passed his entry test to join FBPE 🙄 ""TOP eurocrat Donald Tusk today claimed the Brexit referendum was besieged by “anti-European forces” who have been operating secretly to disrupt the EU."""
03.06.19 08:24;DPhinnemore;5.41;4.30;RT @QUBFoodProf: My latest @TheGrocer article. WTO standards post-Brexit will have harmful consequences for food. Reflections on a recent trip to India with @ArunKapilspice https://t.co/PmSZ9GizzI
03.06.19 08:24;1goforgold1;5.48;4.63;RT @BrexitStewart: No deal better than uncertainty, says head of German industry https://t.co/XJ5FrpbuDL
03.06.19 08:24;RedFocus5;5.29;4.21;@catherinemep @Fydsy The “top” economist of The Brexit crowd, Prof Minford, freely admitted that in his opinion car manufacturing SHOULD be allowed to wither after Brexit, and go the way of shipbuilding engineering and coal industries.
03.06.19 08:24;MacbedaB;5.40;4.74;RT @BjCruickshank: 'Irish bombs' sent to English transport hubs. Knife attacks out of control in England. #Brexit no deal just about to explode. Does England need martial law? Of course it does says every Tory in the UK!
03.06.19 08:24;DrAndrewV2;5.89;4.50;RT @jmgreenprospect: Really sorry to see this, my dad worked at Cowley for nearly 40 years. Losing well paid jobs like these really will be a bad Brexit https://t.co/wybIlHqxT1
03.06.19 08:24;TheCEOinspace;5.47;4.21;@AdamMacarthur @Jacob_Rees_Mogg So your argument is let’s encourage parts and components manufacturers to import here by giving them an advantage over domestic producers of parts and components with a lopsided tariffs and other regulat
03.06.19 08:24;hmatthews92;6.02;4.12;"RT @SkyNewsBreak: BMW has told Sky News it will ""have to consider"" ending Mini production at its Cowley site in Oxfordshire in the event of a ""no-deal"" Brexit and that the company would ""not be very happy"" with a two to three month Brexit delay"
03.06.19 08:24;The_RealTruth18;4.94;4.40;@BrexitHome We won't be forced into anything that isn't brexit.
03.06.19 08:24;catherinemginn;5.64;4.33;RT @jamesmb: Probably interesting to remember that when I first raised this very point (last June), I was accused of spreading fake news and laughing at cancer sufferers - neither of which I did. However, it did allow one lovely #Brexit-er ... https://t.co/iPT6cOeDqd
03.06.19 08:24;Donroeb;5.35;4.63;RT @SimonPearson961: German Industry is ready and prepared for, and would prefer,the certainty of “no deal” in March. Dear MPs, try and grasp this. Uncertainty is the only thing that both the WA or any delay will bring. Business doesn’t like uncertainty. Do not block “no deal” https://t.co/ppcqN6L9lD
03.06.19 08:24;Webberc5Webber;5.88;4.32;RT @Ruaridh27: UK would be entitled to approx €13 billion of regional development funding post-2020 should it stay in the EU. Theresa May's bribe, targeting MPs of communities whose local serviceshave been squeezed by 9 years of austerity, totals just €1.86 billion. https://t.co/JqEv6HOtyI
03.06.19 08:24;Jayoberoi2;5.08;3.90;RT @KateWilton1: Any MPs care to comment on the @Channel4News investigation into Arron Banks and Brexit illegalities? The silence on this is deafening
03.06.19 08:24;njstone9;5.15;4.15;RT @coyleneil: Nissan, Honda, Jaguar Landrover & more. Not a coincidence. Brexit destroying quality British jobs whilst Brextremists refuse to listen. So much more damage will follow any Brexit. Any decent Prime Minister would revoke Article 50 unapologetically.
03.06.19 08:24;redgraeme;5.73;4.58;"RT @StevePeers: ""Asked what was stopping the move to electric cars at Ellesmere Port, Mr Tavares said 'basically Brexit'"" Vauxhall: No further Ellesmere Port investment until Brexit outcome decidedhttps://t.co/nXFYvEWoTC"
03.06.19 08:24;LinzBottomley;5.29;3.95;"RT @Change_Britain: Who is really being ""extreme"" on the Brexit issue? Is it Leave supporters who are calling for the democratic mandate of the British people to be fulfilled? Or is it Remain supporters who are trying to have that mandate ignored, watered down or overturned completely? https://t.co/NcO07V7Fqz"
03.06.19 08:24;JAEdinburgh;4.89;5.01;RT @OrkneyPixie: ‘You want CHAOS!’ MP ridicules SNP for using Brexit to push for INDEPENDENCE https://t.co/aLyqLeDv1D THIS IS A DISGRACE, ACCUSING SNP OF TRYING TO CAUSE CHAOS WHEN HIS PARTY HAS WRECKED THE UK & IS HOLDING SCOTLAND HOSTAGE TO KEEP LONDON GOING ON SCOT RESOURCES.
03.06.19 08:24;katieajohnston_;5.74;4.89;Bombardier presses DUP to back May’s #Brexit deal https://t.co/AjZOWOpMxv via @financialtimes
